Company Name,Similar Name,Target,Simple Ratio,partial Ratio,Token Sort Ratio,Token Set Ratio
STICHTING BIOMED NKI AVL,STICHTING BIOMED NKI AVL,0,100,100,100,100
STICHTING BIOMED NKI AVL,STICHTING BIOMED NKI AVL,1,100,100,100,100
MEDISIZE,MEDISIZE,0,100,100,100,100
MEDISIZE,MEDISIZE,1,100,100,100,100
MODULAR LIGHTING NEDERLAND BV,MODULAR LIGHTING NEDERLAND BV,0,100,100,100,100
MODULAR LIGHTING NEDERLAND BV,MODULAR LIGHTING NEDERLAND BV,1,100,100,100,100
PHILIPS,PHILIPS,0,100,100,100,100
PHILIPS,PHILIPS,1,100,100,100,100
PHILIPS ELECTRONICS NEDERLAND,PHILIPS ELECTRONICS NEDERLAND,0,100,100,100,100
PHILIPS ELECTRONICS NEDERLAND,PHILIPS ELECTRONICS NEDERLAND,1,100,100,100,100
PHILIPS ELECTRONICS NEDERLAND,PHILIPS,0,39,100,39,100
PHILIPS ELECTRONICS NEDERLAND BV,PHILIPS ELECTRONICS NEDERLAND BV,0,100,100,100,100
PHILIPS ELECTRONICS NEDERLAND BV,PHILIPS ELECTRONICS NEDERLAND BV,1,100,100,100,100
PHILIPS ELECTRONICS NEDERLAND BV,PHILIPS ELECTRONICS NEDERLAND,0,95,100,95,100
US FOODSERVICE,US FOOSERVICE,1,96,92,96,96
US FOREST SERVICE ROCKY MOUNTAIN,US FOREST SERVICE ROCKY MTN,1,92,96,92,92
CHINA MOBILE GROUP GUANGXI BAISE BRANCH,CHINA MOBILE GROUP GUANGXI BEIHAI BRANCH,0,94,92,94,94
CHINA MOBILE GROUP GUANGXI BAISE BRANCH,CHINA MOBILE GROUP GUANGXI CHONGZUO BRANCH,0,84,85,81,92
CHINA MOBILE GROUP GUANGXI BAISE BRANCH,CHINA MOBILE GROUP GUANGXI FANGCHENGGANG BRANCH,0,84,86,77,92
CHINA MOBILE GROUP GUANGXI BAISE BRANCH,CHINA MOBILE GROUP GUANGXI GUIGANG BRANCH,0,88,85,82,92
CHINA MOBILE GROUP GUANGXI BAISE BRANCH,CHINA MOBILE GROUP GUANGXI GUILIN BRANCH,0,89,87,84,92
CHINA MOBILE GROUP GUANGXI BAISE BRANCH,CHINA MOBILE GROUP GUANGXI HECHI BRANCH,0,90,90,85,92
CHINA MOBILE GROUP GUANGXI BAISE BRANCH,CHINA MOBILE GROUP GUANGXI HEZHOU BRANCH,0,89,87,84,92
CHINA MOBILE GROUP GUANGXI BAISE BRANCH,CHINA MOBILE GROUP GUANGXI LAIBIN BRANCH,0,91,90,84,92
CHINA MOBILE GROUP GUANGXI BAISE BRANCH,CHINA MOBILE GROUP GUANGXI LIUZHOU BRANCH,0,88,85,82,92
CHINA MOBILE GROUP GUANGXI BAISE BRANCH,CHINA MOBILE GROUP GUANGXI NANNING BRANCH,0,90,87,82,92
CHINA MOBILE GROUP GUANGXI BAISE BRANCH,CHINA MOBILE GROUP GUANGXI QINZHOU BRANCH,0,88,85,82,92
CHINA MOBILE GROUP GUANGXI BAISE BRANCH,CHINA MOBILE GROUP GUANGXI WUZHOU BRANCH,0,86,85,84,92
CHINA MOBILE GROUP GUANGXI BAISE BRANCH,CHINA MOBILE GROUP GUANGXI YULIN BRANCH,0,90,90,85,92
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG DONGGUAN BRANCH,0,86,86,82,89
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG FOSHAN BRANCH,0,88,86,84,91
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG GUANGZHOU BRANCH,0,92,91,79,92
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG HEYUAN BRANCH,0,88,86,81,91
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG HUIZHOU BRANCH,0,94,93,80,94
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG JIANGMEN BRANCH,0,84,84,80,89
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG JIEYANG BRANCH,0,85,84,80,90
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG MAOMING BRANCH,0,87,86,80,90
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG MEIZHOU BRANCH,0,92,91,80,92
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG QINGYUAN BRANCH,0,84,84,80,89
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG SHANTOU BRANCH,0,92,91,80,92
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG SHANWEI BRANCH,0,87,86,80,90
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG SHENZHEN BRANCH,0,89,89,80,89
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG YANGJIANG BRANCH,0,83,82,79,89
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG YUNFU BRANCH,0,87,86,82,92
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG ZHANJIANG BRANCH,0,85,86,79,89
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG ZHAOQING BRANCH,0,89,89,80,89
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG ZHONGSHAN BRANCH,0,88,86,79,89
CHINA MOBILE GROUP GUANGDONG CHAOZHOU BRANCH,CHINA MOBILE GROUP GUANGDONG ZHUHAI BRANCH,0,91,88,81,91
CHINA MOBILE GROUP FUJIAN NINGDE BRANCH,CHINA MOBILE GROUP FUJIAN PUTIAN BRANCH,0,90,90,90,90
CHINA MOBILE GROUP FUJIAN NINGDE BRANCH,CHINA MOBILE GROUP FUJIAN QUANZHOU BRANCH,0,85,82,85,90
CHINA MOBILE GROUP FUJIAN NINGDE BRANCH,CHINA MOBILE GROUP FUJIAN SANMING BRANCH,0,94,92,94,94
CHINA MOBILE GROUP FUJIAN NINGDE BRANCH,CHINA MOBILE GROUP FUJIAN XIAMEN BRANCH,0,90,90,90,90
CHINA MOBILE GROUP FUJIAN NINGDE BRANCH,CHINA MOBILE GROUP FUJIAN ZHANGZHOU BRANCH,0,86,82,86,90
CHINA MOBILE GROUP FUJIAN NANPING BRANCH,CHINA MOBILE GROUP FUJIAN NINGDE BRANCH,0,94,92,94,94
GUANGZHOU AUTOMOBILE GROUP RND CENTER,GUANGZHOU AUTOMOBILE GROUP FINANCE,0,85,90,82,87
GUANGZHOU AUTOMOBILE GROUP RND CENTER,GUANGZHOU AUTOMOBILE GROUP COMPONENT,0,85,87,85,85
GENERAL COMISSION FOR SURVEY,GENERAL COMMISSION OF SURVEY,1,93,93,86,93
INSTITUTE OF PUBLIC ADMINISTRATION,INSTITUTE OF PUBLICADMINISTRATION,1,99,97,57,81
INSTITUTE OF PUBLIC ADMINISTRATIO,INSTITUTE OF PUBLIC ADMINISTRATION,1,99,100,99,99
IPA INSTITUTE OF PUBLIC ADMINISTRATION,IPAINSTITUTE OF PUBLIC ADMINISTRATION,1,99,97,91,91
MINISTRY OF COMMUNICATION AND IT,MINISTRY OF COMMUNICATIONS AND INFORMATION TECHNOLOGY MCIT,1,71,97,71,71
KKU KING KHALID UNIVERSITY,KING KHALID UNIVERSITYKKU,1,86,94,86,86
KING KHALED UNIVERSITYKKU,KING KHALED UNIVERSITY (KKU),1,94,94,86,86
KING KHALED UNIVERSITYKKU,KING KHALED UNIVERSITY,1,94,100,94,94
NATIONAL GUARD HEALTH AFFAIRS (NGHA),NATIONAL GUARD HEALTH AFFAIRS NGHA,1,97,97,100,100
MINISTRY OF JUSTICE MOJ,MINISTY OF JUSTICE MOJ,1,98,95,98,98
MINISTRY OF JUSTICE MOJ,MINISTRY OF JUSTICE (MOJ),1,96,96,100,100
REGIE L ENERGIE,REGIE LENERGIE,0,97,93,90,90
REFRESCOS BANDEIRANTES INDUSTRIAL E COMERCIO,REFRESCOS BANDEIRANTES INDUSTRY COM,1,86,92,86,86
REFINERIA CARTAGENA,REFINERIA CARTAGENA SAS,1,90,100,90,100
REFINERIA CARTAGA,REFINERIA CARTAGENA SAS,1,85,97,85,85
REFINERIA CARTAGA,REFINERIA CARTAGENA,1,94,97,94,94
REED ELSEVIER,REED ELSEVIER TECHNOLOGY SERVICES,1,57,100,57,100
TERREBONNE PARISH CONSOLIDATED,TERREBONNE PARISH CLERK OF COURT,0,71,82,68,72
UNIVERSITI MALAYSIA TERENGGANU,UNIVERSITI MALAYSIA TERENGGANU (UMT),1,91,100,94,100
FELDA PALM INDUSTRIES SDN,FELDA PRODATA SYSTEMS SDN,0,68,68,52,60
CHINA MOBILE GROUP GUANGXI HECHI BRANCH,CHINA MOBILE GROUP GUANGXI HEZHOU BRANCH,0,94,92,94,94
CHINA MOBILE GROUP GUANGXI GUIGANG BRANCH,CHINA MOBILE GROUP GUANGXI GUILIN BRANCH,0,94,92,94,94
CHINA MOBILE GROUP GUANGXI CHONGZUO BRANCH,CHINA MOBILE GROUP GUANGXI GUIGANG BRANCH,0,87,85,80,89
CHINA MOBILE GROUP GUANGXI BEIHAI BRANCH,CHINA MOBILE GROUP GUANGXI CHONGZUO BRANCH,0,85,84,80,90
CHINA MOBILE GROUP GUANGXI BAISE BRANCH,CHINA MOBILE GROUP GUANGXI BEIHAI BRANCH,0,94,92,94,94
ABEL SMITH SCHOOL ANGELO LUCA,ABEL SMITH SCHOOL WOODHALL CHARITABLE TRUST,0,64,78,56,74
YOUR HEALTH CARE,YOUR HEALTHCARE CIC,1,86,97,74,74
YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,1,100,100,100,100
SDIS 78,SDIS 84,0,86,92,86,86
SDIS 12,SDIS 49,0,71,83,71,73
SDIS 12,SDIS 14,0,86,92,86,86
METZ METROPOLE,METZ METROPOLE DEVELOPPEMENT,1,67,100,67,100
JOAO DANIEL FILMES,JOAO FORTES ENGENHARIA,0,40,55,55,55
JOB CORPS CENTER,JOB CORPS DATA CENTER,1,86,77,86,100
JHSF ADMINIST DO CAT AEROP EXEC,JHSF ADMINISTRADORA DO CATARINA AEROPORTO EXECUTIVO,1,76,75,76,76
JHU APL,JHUAPL,1,92,83,46,46
LG ENERGY SOLUTION TECHNOLOGY (NANJING),LG ENERGY SOLUTION BATTERY (NANJING),1,85,81,73,87
LG ENERGY SOLUTION (NANJING),LG ENERGY SOLUTION TECHNOLOGY (NANJING),1,84,81,83,100
LG ELECTRONICS(HUIZHOU),LG ELECTRONICS(KUNSHAN),0,78,82,77,78
LG ELECTRONICS NANJING BATTERY PACK,LG ELECTRONICS NANJING VEHICLE COMPONENTS,0,68,80,68,77
LG CHEM DISPLAY MATERIALS (BEIJING),LG CHEM DISPLAY MATERIALS(BEIJING),1,99,97,100,100
LG CHEM KOREA,LG CHEM CHINA INVESTMENT,0,49,76,49,70
BANK OF AMERICA MERRIL LYNCH,MERRILL LYNCH ,1,57,92,59,59
MERRILL LYNCH,MERRILL LYNCH EUROPE,1,79,100,79,100
VIRGIN MONEY,VIRGIN MONEY GROUP,1,80,100,80,100
FPT RETAIL,FPT INVESTMENT,0,50,67,50,50
FPT TELECOM INTERNATIONAL,FPT INTERNATIONAL TELECOM,1,68,81,100,100
SUMITOMO MITSUI ASSET MANAGEME,SUMITOMO MITSUI DS ASSET MANAGEMENT,0,92,90,92,92
LOTTE MITSUI CHEMICALS,MITSUI BUSSAN CHEMICALS,0,71,68,71,84
KUMHO MITSUI CHEMICALS,MITSUI BUSSAN CHEMICALS,0,71,68,71,84
LOTTE MITSUI CHEMICALS,KUMHO MITSUI CHEMICALS,0,82,90,82,84
MITSUI BUSSAN CHEMICALS,MITSUI BUSSAN METALS,0,84,82,84,84
SUMITOMO MITSUI DS ASSET MANAGEMENT (HK),SUMITOMO MITSUI DS ASSET MANAGEMENT,1,93,100,96,100
MITSUI SUMITOMO INSURANCE (CHINA),MITSUI SUMITOMO INSURANCE (THAILAND BRANCH),0,84,92,78,89
MITSUI SUMITOMO INSURANCE,MITSUI SUMITOMO INSURANCE (CHINA),0,86,100,89,100
MITSUI SEAFOODS,MITSUISOKO (U ),0,60,72,67,67
